Animal,Spp,Line,Thetime,Apfreq,Lat P,Lat A,Lon P,Lon A,Lc94,Sen1,Sen2,Sen3,Sen4,Ptt,Iqx,Iqy,Nmess,Gt120,Apbest,Dur,Nopc,Altitude,Colorname,Sex,Age,Popid,Month,Day,Year,Hour,Minute,Second,Date,Time,Gmt Date,Gmt Hour,Gmt Min,Gmt Sec,Jd,Jday,Ddmm,Mmdd,Deplylat,Deplylon,Deltahr,Duty,Dutylocs,Daysdply,Deployed,Record Number,Accessed Date,Source Url,Preferred Citation
OoTag050,Orcinus Orca,OoTag05020150316:143459Z99,16MAR15:14:34:59,677544.9,45.338,47.383,-124.042,-134.492,L2,24,132,202,50,109822,6,8,6,2,-118,537,4,0,wheat,M,A,L84,3,16,2015,14,34,59,2015-03-16 00:00:00,14:34:59,2015-03-16 00:00:00,14,34,59,15075,75,16_03,03_16,48.053,-124.797,.01,28,14,27,2/17/15,Row 1 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:161532Z99,16MAR15:16:15:32,677544,45.26,55.963,-124.041,177.367,L3,24,131,204,51,109822,0,0,2,0,-129,62,2,0,wheat,M,A,L84,3,16,2015,16,15,32,2015-03-16 00:00:00,16:15:32,2015-03-16 00:00:00,16,15,32,15075,75,16_03,03_16,48.053,-124.797,1.68,28,14,27,2/17/15,Row 2 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:164301Z99,16MAR15:16:43:01,677544,45.24,36.033,-124.076,-76.507,L0,24,132,203,48,109822,0,0,2,0,-126,59,2,0,wheat,M,A,L84,3,16,2015,16,43,1,2015-03-16 00:00:00,16:43:01,2015-03-16 00:00:00,16,43,1,15075,75,16_03,03_16,48.053,-124.797,.46,28,14,27,2/17/15,Row 3 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:173432Z99,16MAR15:17:34:32,677544,45.197,40.754,-124.062,-100.214,L2,25,131,204,51,109822,0,0,2,0,-127,597,2,0,wheat,M,A,L84,3,16,2015,17,34,32,2015-03-16 00:00:00,17:34:32,2015-03-16 00:00:00,17,34,32,15075,75,16_03,03_16,48.053,-124.797,.86,28,14,27,2/17/15,Row 4 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:182044Z99,16MAR15:18:20:44,677543,45.201,44.985,-124.271,-123.087,LA,25,131,204,50,109822,6,8,4,2,-116,491,2,0,wheat,M,A,L84,3,16,2015,18,20,44,2015-03-16 00:00:00,18:20:44,2015-03-16 00:00:00,18,20,44,15075,75,16_03,03_16,48.053,-124.797,.77,28,14,27,2/17/15,Row 5 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:230950Z99,16MAR15:23:09:50,677562.1,44.897,51.941,-124.068,-87.542,LA,25,130,203,53,109822,0,8,3,0,-128,253,3,0,wheat,M,A,L84,3,16,2015,23,9,50,2015-03-16 00:00:00,23:09:50,2015-03-16 00:00:00,23,9,50,15075,75,16_03,03_16,48.053,-124.797,4.82,28,14,27,2/17/15,Row 6 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150316:233051Z99,16MAR15:23:30:51,677562.1,44.881,35.037,-124.128,-173.38,LB,25,130,203,53,109822,4,0,3,0,-129,458,2,0,wheat,M,A,L84,3,16,2015,23,30,51,2015-03-16 00:00:00,23:30:51,2015-03-16 00:00:00,23,30,51,15075,75,16_03,03_16,48.053,-124.797,.35,28,14,27,2/17/15,Row 7 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150417:042212Z99,17APR15:04:22:12,677542.4,46.513,51.781,-124.217,-100.722,L2,51,128,207,51,109822,0,0,2,0,-128,46,2,0,wheat,M,A,L84,4,17,2015,4,22,12,2015-04-17 00:00:00,4:22:12,2015-04-17 00:00:00,4,22,12,15107,107,17_04,04_17,48.053,-124.797,4.44,60,11,59,2/17/15,Row 8 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150417:121448Z99,17APR15:12:14:48,677544,46.784,37.842,-124.258,-80.45,L1,51,130,208,44,109822,0,0,2,0,-128,104,2,0,wheat,M,A,L84,4,17,2015,12,14,48,2015-04-17 00:00:00,12:14:48,2015-04-17 00:00:00,12,14,48,15107,107,17_04,04_17,48.053,-124.797,7.25,60,11,59,2/17/15,Row 9 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150417:125014Z99,17APR15:12:50:14,677544,46.813,51.603,-124.217,-98.658,L1,38,78,231,175,109822,0,0,2,0,-124,228,1,0,wheat,M,A,L84,4,17,2015,12,50,14,2015-04-17 00:00:00,12:50:14,2015-04-17 00:00:00,12,50,14,15107,107,17_04,04_17,48.053,-124.797,.15,60,11,59,2/17/15,Row 10 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
OoTag050,Orcinus Orca,OoTag05020150417:130015Z99,17APR15:13:00:15,677544,46.835,39.667,-124.238,-89.093,L2,51,130,205,48,109822,0,0,3,0,-127,403,3,0,wheat,M,A,L84,4,17,2015,13,0,15,2015-04-17 00:00:00,13:00:15,2015-04-17 00:00:00,13,0,15,15107,107,17_04,04_17,48.053,-124.797,.17,60,11,59,2/17/15,Row 11 of 3766,Accessed on 2023-03-04 15:31:47,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range,"Hanson, Brad; 07/01/2019. NOAA Fisheries Northwest Fisheries Science Center. SRKW occurrence coastal: SRKW occurrence coastal (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/transient_killer_whale_range)"
